WINE KIT,count
itl. pinot grigio cl,284
itl. pinot grigio res,220
cal. enigma res,171
n.z. sauv blanc pr,161
aus. tram-ries res,148
aus. cab sauv res,146
aus. chardonnay res,128
lodi cab sauv pr,122
ger. gewurz res,121
wash. riesling cl,121
itl. amarone pr,115
fr. bordeaux pr,102
chil. merlot cl,98
chil. cab sauv cl,95
s.a. cape blend le19,91
aus. shiraz res,86
n.z. sauv blanc ec,85
cal. gewurz cl,77
itl. pinot grigio sel,77
aus. cab shiraz res,72
chil. sauv. blanc cl,68
itl. pecorino p. g. le19,67
itl. pinot grigio wv,67
wash. pinot gris pr,65
var. pacific quart red le19,64
cal. enigma sel,63
lodi o.v. zin pr,63
arg. malbec res,63
itl. valroza cl,62
sonoma chardonnay pr,58
aus. cab sauv sel,57
chil. pinot noir res,57
itl. barbaresco le18,56
chil. carmenere res,56
cal. pinot noir cl,56
wash. sangio rosa res,55
cal. viognier cl,55
cal. merlot res,54
wash. riesling wv,54
itl. pink pinot grigio res,48
cal. chardonnay cl,47
aus. grenache rose res,46
itl. amarone res,46
aus. sauv blanc pr,45
var. gren tann shiraz le20,45
itl. luna rossa res,43
chil. malbec cl,43
cal. white zin cl,42
itl. super tuscan pr,42
cal. cab merlot res,41
cal. sauv blanc res,37
ger. gewurz vr,37
n.z. fume blanc le18,37
spa. tempranillo le19,36
aus. pinot noir shiraz le21,36
itl. barbera pp21,35
aus. chardonnay sel,35
cal. riesling res,35
fr. marselan le21,35
cal. black cab le18,35
spa. tempranillo cl,34
cal. trinity red cl,34
cal. shiraz cl,34
spa. grenache carignan le21,34
itl. nerello le20,33
itl. sangiovese cl,33
chil. corazon le18,33
cal. synergy le20,32
spa. macabeo sauv blanc le21,31
var. double noir le20,30
aus. cab shiraz monte. pp22,30
chil. merlot wv,29
aus. odyssey shiraz pr lr,29
arg. torrontes muscat le20,29
cal. moscato cl,28
itl. fiero pr lr,28
aus. g.s.m. cl,28
itl. nebbiolo pr,28
cal. yolo white le19,28
itl. pinot grigio rosa sel,27
spa. albarino res,26
var. 3 moons cab lr,26
itl. grillo pinot grigio pp22,26
pinot grigio oth,26
lodi zinfandel ec,26
wash. pinot gris cm,25
n.z. pinot noir pr,25
spa. tempranilo le19,24
n/s wsky cab merlot lr,23
itl. luna rossa sel,23
lodi cab sauv ec,23
ger. gewurz ec,23
itl. brunello pr lr,23
cal. symphony gewurz le18,23
wash. cab merlot le22,23
napa merlot pr,22
itl. primitivo pp22,22
spa. tempranillo bobal pp22,22
itl. trebbiano riesling le21,22
wash. riesling ec,21
aus. boomerang red res,20
chil. carmenere sel,19
itl. amarone csc,19
itl. dolcetto lr res,19
n/s metamorphosis cwi,19
sonoma pinot noir ec,19
itl. nebbiolo ec,19
cal. grand red pp,19
var. 3 post white pp21,18
chil. carm petit verdot pp20,18
aus. cab sauv wv,18
aus. wsky shiraz lr,17
fr. merlot sel,17
aus. shiraz sel,17
chil. pinot noir sel,16
cal. white oth,16
cal. cab merlot sel,15
itl. valrosa vr,15
arg. malbec sel,15
cal. metamorphosis cwi,15
aus. mataro shiraz res,15
n.z. merlot pp21,15
n.z. pinot noir sel,15
aus. chardonnay wv,14
cal. wsky cab syrah lr,14
aus. shiraz pr,14
aus. shiraz ec,14
n/s riesling oth,14
itl. terreno lr os,14
var. pacifica white lr,14
itl. montepulciano res,13
aus. cab shiraz sel,13
cal. pinot noir wv,13
chil. diablo rojo cl,13
cal. v.c.d.r. cl,13
n.z. sauv blanc atm,13
fr. union red pp20,13
chil. sauv blanc wv,13
s.a. sauv blanc cm,13
fr. union white pp20,12
var.. dos gren pp20,12
itl. forza ec,12
chil. merlot vr,12
aus. tram-ries sel,12
aus. tram-ries is,12
itl.sangiovese sel,12
aus. shiraz wv,12
aus. tram riesl sel,12
itl. valrosa vr sel,11
napa merlot ec,11
aus. boomerang white res,11
aus. g.s.m. wv,11
itl. nebbiolo wv,10
n/s riesling ice wine apres,10
fw peach apricot im,10
itl. brunello sel,10
s.a. cab sauv cm,10
cal. white zin vr,10
chi. malbec carmenere pp23,10
arg. malbec csc,10
oreg. pinot noir pr,10
fw mango citrus im,9
fw rasp peach sangria im,9
cab sauv oth,9
itl. nebbiolo sel,9
itl. amarone cel,8
n/s port apres,8
fr. cab sauv wv,8
var. coastal red vr,8
ger. muller-thurgau wv,8
cal. chardonnay vr,8
napa cab sauv rev,8
cal. riesling res dry,8
chil. sauv. blanc wv,8
cal. symphony sel,8
chil. malbec wv,8
cal. trinity red wv,8
